query,node_id,latency_ms
point_lookup,13880,5.247299995971844
point_lookup,7205,4.786200006492436
point_lookup,2095,4.342000000178814
point_lookup,3397,3.5078999935649335
point_lookup,5414,3.7757999962195754
point_lookup,11770,4.1884999955073
point_lookup,7092,4.021200002171099
point_lookup,13501,3.705700015416369
point_lookup,18863,3.7056000146549195
point_lookup,16698,4.70409999252297
point_lookup,19253,4.173499997705221
point_lookup,14505,4.003099980764091
point_lookup,20057,5.353400018066168
point_lookup,14585,5.408500001067296
point_lookup,3274,4.667700006393716
point_lookup,1381,4.848100012168288
point_lookup,7797,4.666799999540672
point_lookup,13426,3.5043000243604183
point_lookup,2972,4.879499989328906
point_lookup,19214,3.8494000036735088
point_lookup,16724,4.020000022137538
point_lookup,4518,3.89960000757128
point_lookup,9486,4.341599997133017
point_lookup,18854,3.453899989835918
point_lookup,1045,3.796999983023852
point_lookup,19314,3.8007999828550965
point_lookup,19777,4.369599977508187
point_lookup,9723,2.761999989161268
point_lookup,13605,2.793999999994412
point_lookup,16574,3.034599998500198
point_lookup,14487,2.280400018207729
point_lookup,8387,2.5301999994553626
point_lookup,11004,2.957999997306615
point_lookup,16620,2.329700015252456
point_lookup,9663,2.071700000669807
point_lookup,4927,3.134500002488494
point_lookup,9566,2.507299999706447
point_lookup,12820,2.158999996026978
point_lookup,3856,3.838400007225573
point_lookup,11141,2.5594000180717558
point_lookup,2154,2.245400013634935
point_lookup,20531,3.923600015696138
point_lookup,16258,2.862900000764057
point_lookup,7966,3.0599999881815165
point_lookup,15660,2.9818000039085746
point_lookup,2456,2.2326000034809113
point_lookup,22050,3.3093999954871833
point_lookup,20985,2.921399980550632
point_lookup,22005,2.2690999903716147
point_lookup,9967,2.3419999924954027
point_lookup,10307,2.8600000077858567
point_lookup,8060,2.828199998475611
point_lookup,1076,2.5732000067364424
point_lookup,14683,3.949200006900355
point_lookup,16708,3.0700000061187893
point_lookup,7434,4.001699999207631
point_lookup,14451,2.7027000032830983
point_lookup,20975,2.4283000093419105
point_lookup,20140,3.375599975697696
point_lookup,16456,3.0912999936845154
point_lookup,8195,3.422400011913851
point_lookup,4276,2.411599998595193
point_lookup,22209,2.2003999911248684
point_lookup,6464,2.106400002958253
point_lookup,16286,3.3010000188369304
point_lookup,14871,2.946599997812882
point_lookup,4033,2.997000003233552
point_lookup,21140,2.752100001089275
point_lookup,10665,2.479899994796142
point_lookup,10582,2.5304000009782612
point_lookup,311,2.758599992375821
point_lookup,4729,2.2926999954506755
point_lookup,10775,2.1334999764803797
point_lookup,14624,3.5032000159844756
point_lookup,15661,2.6114000065717846
point_lookup,16107,2.228500001365319
point_lookup,6644,2.563200017903
point_lookup,1958,2.5935999874491245
point_lookup,16361,2.298499981407076
point_lookup,8104,3.0104999896138906
point_lookup,10425,2.2869999811518937
point_lookup,12849,2.1976999996695668
point_lookup,10048,2.1058999991510063
point_lookup,8042,2.073100011330098
point_lookup,7492,2.401499979896471
point_lookup,7498,3.8935999909881502
point_lookup,7984,3.314800007501617
point_lookup,1218,4.366399982245639
point_lookup,1232,3.0055999814067036
point_lookup,11290,2.5781999866012484
point_lookup,17627,2.944400010164827
point_lookup,6538,3.435699996771291
point_lookup,7392,2.444499987177551
point_lookup,12848,3.046600002562627
point_lookup,7663,2.467899990733713
point_lookup,20125,2.292599994689226
point_lookup,7509,2.739799994742498
point_lookup,3375,2.3474000045098364
point_lookup,18200,2.457099995808676
point_lookup,5909,2.1911000076215714
one_hop,13880,3.263300022808835
one_hop,7205,2.714900008868426
one_hop,2095,3.199800004949793
one_hop,3397,3.8337000005412847
one_hop,5414,5.126100004417822
one_hop,11770,4.679299978306517
one_hop,7092,4.346699977759272
one_hop,13501,3.9853999915067106
one_hop,18863,2.562300011049956
one_hop,16698,2.7179000026080757
one_hop,19253,2.3363999789580703
one_hop,14505,3.453299985267222
one_hop,20057,2.4640999909024686
one_hop,14585,2.4144999915733933
one_hop,3274,2.4395999789703637
one_hop,1381,2.3529999889433384
