database,clients,duration_sec,read_ratio,total_operations,reads,writes,errors,qps,p50_ms,p95_ms
falkordb,10,30.09582769998815,0.8,24040,19111,4929,0,798.781819182513,10.319699998944998,26.240599981974807
memgraph,10,30.0351218,0.8,17641,14138,3503,0,587.3457120456892,15.976300000001944,26.734699999998668
cognodb,10,30.0454162,0.8,12901,10310,2591,0,429.3833014035598,21.498399999998693,39.6131000000004
neo4j,10,30.073778200000003,0.8,12096,9687,2409,0,402.21085357342963,20.537700000001987,47.809399999998455
arangodb,10,30.271180799987636,0.8,5569,4503,1066,0,183.9703590288184,50.878600013675175,68.63840000005439
