query,node_id,latency_ms
point_lookup,193,3.06099999579601
point_lookup,22051,3.1669999880250543
point_lookup,288,4.345399996964261
point_lookup,2550,4.317999992053956
point_lookup,15745,5.285299994284287
point_lookup,18081,3.8952000031713396
point_lookup,11634,3.2469000143464655
point_lookup,11201,3.3549999934621155
point_lookup,18599,3.2720999734010547
point_lookup,13654,2.7821999974548817
point_lookup,17831,3.0162000039126724
point_lookup,4047,2.6560999976936728
point_lookup,1637,2.220499998657033
point_lookup,4930,2.608799986774102
point_lookup,17859,2.3446000122930855
point_lookup,3131,3.2227000046987087
point_lookup,18681,2.486000012140721
point_lookup,20367,2.3799000191502273
point_lookup,3951,2.4406999873463064
point_lookup,12454,2.4889000051189214
point_lookup,8534,2.871700009563938
point_lookup,4343,2.7040999848395586
point_lookup,139,2.267300005769357
point_lookup,7795,2.4244999804068357
point_lookup,5645,2.3916999925859272
point_lookup,1234,4.030199983390048
point_lookup,19253,2.9547000012826174
point_lookup,13564,2.5544000091031194
point_lookup,12375,2.3021000088192523
point_lookup,4120,2.5140000216197222
point_lookup,14861,2.529399993363768
point_lookup,9968,3.628200007369742
point_lookup,3865,2.6154000079259276
point_lookup,22166,2.589600015198812
point_lookup,19297,2.3981000122148544
point_lookup,10412,2.4566999927628785
point_lookup,8265,2.402399986749515
point_lookup,8302,2.5391999806743115
point_lookup,18367,2.4859999830368906
point_lookup,14324,2.7282999944873154
point_lookup,22416,2.5422000035177916
point_lookup,15617,2.317299979040399
point_lookup,16171,3.189699986251071
point_lookup,5161,2.766599995084107
point_lookup,20314,2.43870000122115
point_lookup,1030,2.7932999946642667
point_lookup,13584,2.4933999811764807
point_lookup,15660,2.396800002316013
point_lookup,17805,2.907199988840148
point_lookup,12170,2.639299986185506
point_lookup,11973,4.204199998639524
point_lookup,3740,2.7021999994758517
point_lookup,15073,2.738300012424588
point_lookup,1203,2.9150999907869846
point_lookup,7790,3.6220999900251627
point_lookup,19664,2.6704000192694366
point_lookup,17285,3.4887999936472625
point_lookup,1881,2.7937999984715134
point_lookup,8723,2.1467000187840313
point_lookup,2704,2.4722999951336533
point_lookup,461,2.3395000025629997
point_lookup,7777,2.1176000009290874
point_lookup,7513,3.5063000104855746
point_lookup,12739,2.5790999934542924
point_lookup,18244,2.221899980213493
point_lookup,18634,2.3472000029869378
point_lookup,18753,2.618300000904128
point_lookup,3202,2.2314000234473497
point_lookup,12606,2.319599996553734
point_lookup,10366,2.279999986058101
point_lookup,1099,3.1540000054519624
point_lookup,21578,2.5628000148572028
point_lookup,4685,2.660700003616512
point_lookup,1887,2.445900026941672
point_lookup,1322,2.4006000021472573
point_lookup,21690,2.232999977422878
point_lookup,14335,2.6867999986279756
point_lookup,15050,2.8714999789372087
point_lookup,20814,2.1764000121038407
point_lookup,16535,2.5836999993771315
point_lookup,9105,2.8341999859549105
point_lookup,7196,2.6277000142727047
point_lookup,267,3.0866000161040574
point_lookup,18247,2.555500017479062
point_lookup,9279,2.5471000117249787
point_lookup,1434,3.005000005941838
point_lookup,11308,2.474000008078292
point_lookup,146,2.2230000176932663
point_lookup,9523,2.735400019446388
point_lookup,5857,2.5068999966606498
point_lookup,17957,2.2666000004392117
point_lookup,10957,2.2455000143963844
point_lookup,11990,2.996099996380508
point_lookup,4534,2.5052999844774604
point_lookup,18142,3.421699977479875
point_lookup,20807,3.993100021034479
point_lookup,18822,2.4619000032544136
point_lookup,21964,2.9835000168532133
point_lookup,5082,2.7064000023528934
point_lookup,2730,2.4415999941993505
indexed_lookup,193,4.109900008188561
indexed_lookup,22051,1.8542999750934541
