query,node_id,latency_ms
point_lookup,16120,18.39010000000041
point_lookup,22415,23.564299999999427
point_lookup,3203,25.14340000000015
point_lookup,1058,25.831300000000113
point_lookup,6371,25.24700000000024
point_lookup,5522,23.961500000000413
point_lookup,8110,18.277199999999993
point_lookup,16395,21.776000000000018
point_lookup,2592,16.791899999999416
point_lookup,16389,14.933199999999758
point_lookup,263,20.208699999999524
point_lookup,1097,22.06660000000049
point_lookup,18504,21.10760000000056
point_lookup,20350,21.61930000000023
point_lookup,12556,14.189799999999586
point_lookup,9362,15.966999999999842
point_lookup,300,21.043699999999887
point_lookup,15273,15.146699999999846
point_lookup,21557,20.47280000000029
point_lookup,17457,17.94389999999968
point_lookup,3243,16.730199999999584
point_lookup,1050,19.986300000000234
point_lookup,5989,21.314700000000464
point_lookup,14501,20.99910000000005
point_lookup,9739,17.76019999999967
point_lookup,6388,14.164699999999364
point_lookup,12568,24.44190000000024
point_lookup,9053,14.409999999999812
point_lookup,20727,21.669099999999553
point_lookup,16560,20.364200000000388
point_lookup,4625,22.823100000000096
point_lookup,49,16.384399999999744
point_lookup,13061,24.6656999999999
point_lookup,17398,23.275200000000495
point_lookup,20920,21.9851000000002
point_lookup,18821,25.9879999999999
point_lookup,3589,23.74839999999967
point_lookup,20435,24.360800000000182
point_lookup,2943,21.61329999999939
point_lookup,4663,24.720000000000297
point_lookup,15297,22.31170000000038
point_lookup,8541,24.473899999999382
point_lookup,18663,24.740800000000007
point_lookup,9032,22.34069999999999
point_lookup,9485,25.05930000000056
point_lookup,752,20.273300000000383
point_lookup,10332,21.856500000000167
point_lookup,19147,24.796199999999935
point_lookup,13693,22.098699999999916
point_lookup,9960,22.892700000000765
point_lookup,19417,24.811999999999834
point_lookup,13319,25.736000000000203
point_lookup,5891,23.571099999999845
point_lookup,9787,16.224600000000144
point_lookup,1859,22.903600000000246
point_lookup,4009,21.405299999999627
point_lookup,2031,14.943900000000454
point_lookup,14775,16.334300000000468
point_lookup,14209,21.113300000000557
point_lookup,18507,16.23909999999995
point_lookup,18218,23.154100000000177
point_lookup,20983,20.21919999999966
point_lookup,4981,18.031599999999592
point_lookup,18751,24.433399999999494
point_lookup,13794,22.831700000000232
point_lookup,265,25.20509999999998
point_lookup,3076,22.069600000000023
point_lookup,5993,13.237900000000025
point_lookup,6257,15.592499999999454
point_lookup,12675,13.802399999999437
point_lookup,1330,12.94029999999946
point_lookup,1530,20.28180000000024
point_lookup,11767,13.439099999999371
point_lookup,6711,15.255799999999375
point_lookup,16106,12.922300000000497
point_lookup,10551,17.46920000000074
point_lookup,8928,13.810399999999667
point_lookup,18389,13.194399999999717
point_lookup,20442,14.877199999999924
point_lookup,2563,20.322000000000173
point_lookup,22394,15.79490000000039
point_lookup,19302,13.035399999999697
point_lookup,4719,13.32190000000022
point_lookup,12670,16.860500000000833
point_lookup,11801,14.495800000000614
point_lookup,20384,20.734700000000217
point_lookup,9300,20.896300000000423
point_lookup,20592,15.759000000000079
point_lookup,4878,21.348299999999654
point_lookup,1352,23.448000000000135
point_lookup,1269,30.225399999999958
point_lookup,12620,26.55039999999964
point_lookup,20855,26.788599999999718
point_lookup,2143,25.605799999999235
point_lookup,14054,27.32929999999989
point_lookup,10097,24.99750000000045
point_lookup,18385,26.632499999999837
point_lookup,8199,27.251399999999926
point_lookup,17849,26.4988000000006
point_lookup,6623,25.436199999999687
one_hop,16120,28.018099999999713
one_hop,22415,28.940200000000083
one_hop,3203,36.63089999999958
one_hop,1058,28.478200000000342
one_hop,6371,28.461199999999742
one_hop,5522,27.371500000000104
one_hop,8110,23.650400000000182
one_hop,16395,17.72049999999936
one_hop,2592,19.49690000000004
one_hop,16389,23.116299999999868
one_hop,263,17.4688999999999
one_hop,1097,17.388100000000684
one_hop,18504,21.612600000000093
one_hop,20350,13.826200000000455
one_hop,12556,19.29829999999999
one_hop,9362,21.869099999999975
one_hop,300,18.335300000000387
one_hop,15273,15.718099999999957
one_hop,21557,19.17399999999958
one_hop,17457,17.64590000000066
one_hop,3243,17.56260000000065
one_hop,1050,16.515799999999636
one_hop,5989,14.032099999999659
one_hop,14501,15.789500000000345
one_hop,9739,15.997699999999782
one_hop,6388,17.96410000000037
one_hop,12568,15.09519999999931
one_hop,9053,23.978500000000125
one_hop,20727,14.458099999999696
one_hop,16560,17.380199999999846
one_hop,4625,18.43869999999992
one_hop,49,21.73069999999999
one_hop,13061,21.565100000000115
one_hop,17398,25.712399999999747
one_hop,20920,19.960700000000386
one_hop,18821,17.195599999999978
one_hop,3589,19.55449999999992
one_hop,20435,20.819300000000318
one_hop,2943,25.89359999999985
one_hop,4663,19.0715999999993
one_hop,15297,20.5403000000004
one_hop,8541,23.418799999999962
one_hop,18663,25.61060000000026
one_hop,9032,24.490899999999982
one_hop,9485,20.534700000000683
one_hop,752,25.15540000000005
one_hop,10332,20.04029999999979
one_hop,19147,25.38299999999971
one_hop,13693,21.280799999999545
one_hop,9960,22.811899999999774
one_hop,19417,23.46619999999966
one_hop,13319,23.15939999999994
one_hop,5891,20.54440000000035
one_hop,9787,19.003699999999846
one_hop,1859,23.405499999999968
one_hop,4009,26.29710000000074
one_hop,2031,26.83269999999993
one_hop,14775,25.291300000000128
one_hop,14209,21.356500000000445
one_hop,18507,17.504200000000303
one_hop,18218,20.998800000000095
one_hop,20983,20.217800000000175
one_hop,4981,24.80770000000021
one_hop,18751,25.781899999999247
one_hop,13794,24.491900000000122
one_hop,265,24.593400000000543
one_hop,3076,18.608500000000028
one_hop,5993,22.102600000000194
one_hop,6257,18.826000000000676
one_hop,12675,18.781099999999107
one_hop,1330,15.604100000000898
one_hop,1530,16.007300000000058
one_hop,11767,15.306300000000661
one_hop,6711,19.60850000000036
one_hop,16106,17.523300000000575
one_hop,10551,21.215599999999668
one_hop,8928,15.556600000000032
one_hop,18389,16.90259999999988
one_hop,20442,16.912099999998986
one_hop,2563,20.87199999999889
one_hop,22394,17.945499999999726
one_hop,19302,13.716599999998635
one_hop,4719,14.526000000000039
one_hop,12670,16.509100000000387
