query,average,minimum,maximum,median,p95
aggregation,22.22703800000009,15.020399999999153,28.71690000000093,22.717450000000028,27.03542499999916
one_hop,19.991855999999963,12.514799999999935,36.63089999999958,19.39760000000001,27.40383000000008
point_lookup,20.553141000000004,12.922300000000494,30.22539999999996,21.33150000000006,26.55450499999965
three_hop,20.45895599999998,12.982200000001498,46.52059999999914,19.745349999999995,31.569644999998555
two_hop,19.72220900000016,12.3350999999996,32.07700000000102,20.225600000000732,26.44456500000025
